index,id,name,rgb,is_trans
0,-1,Unknown,0033B2,False
1,0,Black,05131D,False
2,1,Blue,0055BF,False
3,2,Green,237841,False
4,3,Dark Turquoise,008F9B,False
5,4,Red,C91A09,False
6,5,Dark Pink,C870A0,False
7,6,Brown,583927,False
8,7,Light Gray,9BA19D,False
9,8,Dark Gray,6D6E5C,False
10,9,Light Blue,B4D2E3,False
11,10,Bright Green,4B9F4A,False
12,11,Light Turquoise,55A5AF,False
13,12,Salmon,F2705E,False
14,13,Pink,FC97AC,False
15,14,Yellow,F2CD37,False
16,15,White,FFFFFF,False
17,17,Light Green,C2DAB8,False
18,18,Light Yellow,FBE696,False
19,19,Tan,E4CD9E,False
20,20,Light Violet,C9CAE2,False
21,21,Glow In Dark Opaque,D4D5C9,False
22,22,Purple,81007B,False
23,23,Dark Blue-Violet,2032B0,False
24,25,Orange,FE8A18,False
25,26,Magenta,923978,False
26,27,Lime,BBE90B,False
27,28,Dark Tan,958A73,False
28,29,Bright Pink,E4ADC8,False
29,30,Medium Lavender,AC78BA,False
30,31,Lavender,E1D5ED,False
31,32,Trans-Black IR Lens,635F52,True
32,33,Trans-Dark Blue,0020A0,True
33,34,Trans-Green,84B68D,True
34,35,Trans-Bright Green,D9E4A7,True
35,36,Trans-Red,C91A09,True
36,40,Trans-Black,635F52,True
37,41,Trans-Light Blue,AEEFEC,True
38,42,Trans-Neon Green,F8F184,True
39,43,Trans-Very Lt Blue,C1DFF0,True
40,45,Trans-Dark Pink,DF6695,True
41,46,Trans-Yellow,F5CD2F,True
42,47,Trans-Clear,FCFCFC,True
43,52,Trans-Purple,A5A5CB,True
44,54,Trans-Neon Yellow,DAB000,True
45,57,Trans-Neon Orange,FF800D,True
46,60,Chrome Antique Brass,645A4C,False
47,61,Chrome Blue,6C96BF,False
48,62,Chrome Green,3CB371,False
49,63,Chrome Pink,AA4D8E,False
50,64,Chrome Black,1B2A34,False
51,68,Very Light Orange,F3CF9B,False
52,69,Light Purple,CD6298,False
53,70,Reddish Brown,582A12,False
54,71,Light Bluish Gray,A0A5A9,False
55,72,Dark Bluish Gray,6C6E68,False
56,73,Medium Blue,5A93DB,False
57,74,Medium Green,73DCA1,False
58,75,Speckle Black-Copper,000000,False
59,76,Speckle DBGray-Silver,635F61,False
60,77,Light Pink,FECCCF,False
61,78,Light Flesh,F6D7B3,False
62,79,Milky White,FFFFFF,False
63,80,Metallic Silver,A5A9B4,False
64,81,Metallic Green,899B5F,False
65,82,Metallic Gold,DBAC34,False
66,84,Medium Dark Flesh,CC702A,False
67,85,Dark Purple,3F3691,False
68,86,Dark Flesh,7C503A,False
69,89,Royal Blue,4C61DB,False
70,92,Flesh,D09168,False
71,100,Light Salmon,FEBABD,False
72,110,Violet,4354A3,False
73,112,Blue-Violet,6874CA,False
74,114,Glitter Trans-Dark Pink,DF6695,True
75,115,Medium Lime,C7D23C,False
76,117,Glitter Trans-Clear,FFFFFF,True
77,118,Aqua,B3D7D1,False
78,120,Light Lime,D9E4A7,False
79,125,Light Orange,F9BA61,False
80,129,Glitter Trans-Purple,A5A5CB,True
81,132,Speckle Black-Silver,000000,False
82,133,Speckle Black-Gold,000000,False
83,134,Copper,AE7A59,False
84,135,Pearl Light Gray,9CA3A8,False
85,137,Metal Blue,7988A1,False
86,142,Pearl Light Gold,DCBC81,False
87,143,Trans-Medium Blue,CFE2F7,True
88,148,Pearl Dark Gray,575857,False
89,150,Pearl Very Light Gray,ABADAC,False
90,151,Very Light Bluish Gray,E6E3E0,False
91,158,Yellowish Green,DFEEA5,False
92,178,Flat Dark Gold,B48455,False
93,179,Flat Silver,898788,False
94,182,Trans-Orange,F08F1C,True
95,183,Pearl White,F2F3F2,False
96,191,Bright Light Orange,F8BB3D,False
97,212,Bright Light Blue,9FC3E9,False
98,216,Rust,B31004,False
99,226,Bright Light Yellow,FFF03A,False
100,230,Trans-Pink,E4ADC8,True
101,232,Sky Blue,7DBFDD,False
102,236,Trans-Light Purple,96709F,True
103,272,Dark Blue,0A3463,False
104,288,Dark Green,184632,False
105,294,Glow In Dark Trans,BDC6AD,True
106,297,Pearl Gold,AA7F2E,False
107,308,Dark Brown,352100,False
108,313,Maersk Blue,3592C3,False
109,320,Dark Red,720E0F,False
110,321,Dark Azure,078BC9,False
111,322,Medium Azure,36AEBF,False
112,323,Light Aqua,ADC3C0,False
113,326,Olive Green,9B9A5A,False
114,334,Chrome Gold,BBA53D,False
115,335,Sand Red,D67572,False
116,351,Medium Dark Pink,F785B1,False
117,366,Earth Orange,FA9C1C,False
118,373,Sand Purple,845E84,False
119,378,Sand Green,A0BCAC,False
120,379,Sand Blue,6074A1,False
121,383,Chrome Silver,E0E0E0,False
122,450,Fabuland Brown,B67B50,False
123,462,Medium Orange,FFA70B,False
124,484,Dark Orange,A95500,False
125,503,Very Light Gray,E6E3DA,False
126,1000,Glow in Dark White,D9D9D9,False
127,1001,Medium Violet,9391E4,False
128,1002,Glitter Trans-Neon Green,C0F500,True
129,1003,Glitter Trans-Light Blue,68BCC5,True
130,1004,Trans Flame Yellowish Orange,FCB76D,True
131,1005,Trans Fire Yellow,FBE890,True
132,1006,Trans Light Royal Blue,B4D4F7,True
133,1007,Reddish Lilac,8E5597,False
134,9999,[No Color],05131D,False
